id,file,lines,category,before_bytes,after_bytes,saved_bytes,saved_tokens_b4,action,preserved_by,risk,hard_pins,hard_pin_detail
PI-01,parallel-issues/SKILL.md,158-180,SELF,1512,0,1512,378,Delete the `## Process` dot graph; the Step headings that follow are the same sequence,Step headings 181-1100,no test greps `digraph`/`## Process` (checked tests/*.sh),3,lint-helper-refs.sh:115[e]L163-163:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L163-163:path must resolve: $agentkit/.shared/scripts/agent | test-autonomy-flags.sh:198[a]L169-169:DYN: loop alias --no-brainstorm
PI-02,parallel-issues/SKILL.md,226-241,HIST,1122,350,772,193,"Cut the ""run the preflight ONCE"" rationale + onboarded-precondition essay to 3 lines; change the resolver error text at line 205 to say ""run onboard-repo first"" (review-remote-pr line 107 already says ""run onboarding first"")",resolver block exits 1 with the message; test-skills-contract.sh pins onboard-repo as the bootstrap,low,0,
PI-03,parallel-issues/SKILL.md,286-331,NET,1769,450,1319,329,Replace Step 1 (gh repo view + git remote show origin = 2 network calls) with contract-read.sh --get repo.slug / --get base.branch (values the Step 0 contract already printed; table line 276 admits the re-derivation),contract-read.sh keys repo.slug/base.branch (contract-read.sh:188-193); test-contract-provenance.sh,"no test greps `gh repo view`/`git remote show` in the Step 1 block (checked test-parallel-dispatch-contract.sh, test-skills-contract.sh, test-autonomy-flags.sh)",8,test-contract-provenance.sh:126[a]L297-297:# >>> prepend THE CACHE REHYDRATION (defined once  | test-contract-provenance.sh:147[a]L297-297:THE CACHE REHYDRATION | test-contract-provenance.sh:122[a]L298-298:FULL_GUARD (every occurrence is a guarded block) | test-contract-provenance.sh:129[a]L298-298:agentkit unresolved: prepend THE CACHE REHYDRATION
PI-04,parallel-issues/SKILL.md,358-370,NARR,569,120,449,112,Delete the sample triage-output listing; the verdict table (385-392) + the one-line format sentence (358) explain the helper output,triage-issues.sh prints it; test-triage-issues.sh,low,0,
PI-05,parallel-issues/SKILL.md,398-409,DUP,989,250,739,184,Replace the REST-routing / bulk-ledger paragraph with a 2-line pointer to triage-and-selection §Bulk mutation,tests/lint-rest-routing.sh enforces REST routing in recipes; triage-and-selection.md 136-152 keeps the rule,low,2,test-parallel-dispatch-contract.sh:277[a]L406-406:references/triage-and-selection.md | lint-helper-refs.sh:87[e]L406-406:path must resolve: references/triage-and-selection
PI-06,parallel-issues/SKILL.md,476-489,DUP,1481,500,981,245,Cut the --auto-serialize walkthrough to 4 lines (classify → chain → cap 4 → read chains.md); chains.md 19-61 is the verbatim home and is read whenever a chain exists,chains.md §Building the chain graph; test-chain-advance.sh,test-autonomy-flags.sh may pin a sentence; verify,9,test-parallel-dispatch-contract.sh:1356[a]L476-476:Read `references/chains.md` in full only when the  | test-parallel-dispatch-contract.sh:139[a]L476-476:--auto-serialize | lint-helper-refs.sh:87[e]L476-476:path must resolve: references/chains.md | test-parallel-dispatch-contract.sh:189[a]L479-479:test files or prose does not serialize
PI-07,parallel-issues/SKILL.md,590-600,DUP,871,350,521,130,"Cut ""Chained issues defer"" to 3 lines; chains.md 88-103 is the home (the paragraph already says ""See chains.md for the full rationale"")",chains.md §Deferred dispatch,low,4,"test-parallel-dispatch-contract.sh:157[a]L591-592:as soon as the predecessor's worker has committed  | test-parallel-dispatch-contract.sh:177[a]L592-593:for a join, this means every predecessor pushed AN | test-parallel-dispatch-contract.sh:154[a]L593-593:chain_base_sha | lint-helper-refs.sh:87[e]L599-599:path must resolve: references/chains.md"
PI-08,parallel-issues/SKILL.md,637-651,NARR,1130,350,780,195,"Cut the six no-op output shapes; keep the one rule: only `moved #` or `no-op: … already` completes the phase, all shapes exit 0",move-github-project-item.sh prints them; test-move-project-item.sh pins the shapes,low,1,test-parallel-dispatch-contract.sh:374[a]L650-650:exit 0
PI-09,parallel-issues/SKILL.md,705-713,NARR,639,300,339,84,"Cut the fence-preparation prose that restates the case-block messages (exit 12, --resume archive path)",prepare-issue-artifacts.sh; test-prepare-issue-artifacts.sh,low,0,
PI-10,parallel-issues/SKILL.md,858-869,NARR,886,700,186,46,Cut the environment-refusal validator description to 4 lines; validate-handback.sh enforces every listed check,validate-handback.sh; test-handback.sh,low,9,test-parallel-dispatch-contract.sh:840[a]L858-858:Environment-refusal fallback only | test-parallel-dispatch-contract.sh:855[a]L858-858:Environment-refusal fallback only | test-parallel-dispatch-contract.sh:876[a]L862-863:preserves the raw command text for audit | test-parallel-dispatch-contract.sh:878[a]L863-863:parse into validated arguments without eval
PI-11,parallel-issues/SKILL.md,889-896,DUP,1542,650,892,223,Cut Polling discipline to 3 lines (read wait-discipline.md; quote the printed wait-bound=; digest after completion); wait-discipline.md is a mandatory read,.shared/wait-discipline.md; test-wait-bound.sh,"KEEP the literal sentence ""**900 s** minimum, draft-loop/review/CI waits **600 s**"" — pinned by test-wait-bound.sh:61 and test-parallel-dispatch-contract.sh:1266",13,"test-parallel-dispatch-contract.sh:1021[b]L889-889:CONCAT root_sections: root_fence + root_pub + R ""# | test-parallel-dispatch-contract.sh:836[b]L889-889:### Root review and draft PR after a worker push . | test-parallel-dispatch-contract.sh:232[a]L891-891:.shared/wait-discipline.md | test-parallel-dispatch-contract.sh:333[a]L891-891:silent until terminal"
PI-12,parallel-issues/SKILL.md,897-910,DUP,1056,600,456,114,Cut the Phase 3 intro worker/root split to 5 lines; worker-gate.md + spawn-contract.md carry it,"worker-gate.md, spawn-contract.md",low,2,"test-parallel-dispatch-contract.sh:863[a]L901-901:Step 3b workers receive only root-approved fix bat | test-parallel-dispatch-contract.sh:874[a]L902-903:root handles CI state/verification, forge conflict"
